,Return,Return-7,Return+1,Return-30,target_multi,target_bin,Month,DayOfW,Return_eth,Return_bnb,Return_ada,Return_lite,Trend_Bitcoins,R_eth,R_bnb,R_ada,R_lite,Date,avg-block-size,cost-per-transaction,hash-rate,miners-revenue,mvrv,my-wallet-n-users,n-transactions-per-block,nvt,transaction-fees-usd
1587,0.9475,8.4481,-2.2347,4.0768,-1.0,0.0,3,5,0.0521,0.5765,5.6049,3.8232,13.0,0.9667567293396366,0.9647195267039624,0.9189060787479221,0.9331276671038743,2022-03-19,0.8785399350649351,191.63639462498764,210160951.25482893,40348467.97910728,1.7270992234717897,81909024.0,1367.1883116883114,5.366965717211264,268817.1844127196
1588,-2.2364,8.978,-0.4117,3.0398,0.0,0.0,3,6,-2.9217,-2.2883,-2.6883,-1.3127,12.6,0.8927289020036894,0.8540646639937589,0.7577803522421546,0.7073648175536916,2022-03-20,1.1101283464052294,152.78058243115782,208796269.7531742,39709506.7408471,1.720531032194513,81920962.0,1698.7712418300653,6.759263663981699,390089.69053400116
1589,-0.4076,3.5577,3.118,2.3823,1.0,1.0,3,0,1.3242,1.461,4.5122,1.1533,13.0,0.8567910553281098,0.7890332686253774,0.21443502809151177,0.35345637930673024,2022-03-21,1.1143182147651007,150.76950980201315,203337543.74655527,39888938.43880881,1.6893633874527754,81950237.0,1775.6308724832215,6.885140253300617,459040.05012751155
1590,3.1278,7.677,1.261,10.2193,0.0,1.0,3,1,2.6005,2.0081,6.495,5.8354,13.8,0.8910596204086912,0.8340804300259868,0.4303901092622884,0.5235329655025998,2022-03-22,1.256502737931034,146.80477861309402,197878817.73993632,38783180.0235644,1.769777198645772,81959806.0,1821.9448275862067,4.57881589182452,457830.55923345475
1591,1.2477,4.251,2.4899,15.6915,1.0,1.0,3,2,1.9482,1.0592,13.4527,-0.3637,13.2,0.9498784265944535,0.9145019227709685,0.8004951798066464,0.8186338648187785,2022-03-23,1.1915053356643357,149.010699486914,195149454.7366269,39187876.825965054,1.744932306501103,81978232.0,1839.06993006993,5.1686319615876055,493690.38958595076
1592,2.5049,7.3491,0.8821,14.8224,0.0,1.0,3,3,2.5404,1.364,2.0599,3.3586,14.4,0.9818535672054032,0.9570993824580607,0.9430767538311723,0.9598395606401928,2022-03-24,1.2837107179487182,150.51114946157725,212890314.2581384,43756450.86032028,1.777165642936131,82011462.0,1863.583333333333,5.891837407546058,572369.4154510854
1593,0.8738,6.0945,0.343,18.9083,0.0,1.0,3,4,-0.0572,-0.8058,-2.8614,-1.987,14.6,0.9903841422121805,0.9462924509149064,0.892726287021786,0.8893375700775404,2022-03-25,0.922095857142858,193.67139970476345,219713721.76641208,45600899.41748507,1.838871462860304,82028555.0,1434.9751552795028,4.9684554662261835,371543.15347827296
1594,0.3404,5.4756,5.2126,16.0913,1.0,1.0,3,5,1.1838,1.2423,4.7886,0.6531,12.6,0.9814205280184051,0.8933941146402617,0.7943339099561525,0.676458581581879,2022-03-26,1.090554992366412,171.22775427665562,178773276.71677008,37615484.28724999,1.8235655663812675,82056912.0,1665.6641221374045,4.749493083553754,336779.78623698483
1595,5.2019,13.5102,0.6568,19.3967,0.0,1.0,3,6,4.7008,3.5034,2.7056,3.6098,13.0,0.9933467777166336,0.9568896622330137,0.8284926004176676,0.8900579307501961,2022-03-27,,,,,,,,,
1596,0.6539,14.7281,0.7166,20.5161,0.0,1.0,3,0,1.3459,-0.0362,-1.0276,-1.1298,16.6,0.9918315586123108,0.9720862339311305,0.8107240590875426,0.8055322029470776,2022-03-28,1.244156289308176,162.0941584772219,216984358.7631026,47542865.0580031,1.9288727064347992,82078470.0,1844.6792452830189,5.272139472808528,512121.7860689567
